id;title;path
0000EFE7;随机事件的概率：0<p(A)<1;/统计与概率/概率的意义与定义/随机事件的概率：0<p(A)<1
002D1E57;实数与向量相乘;/图形的变化/平面向量/平面向量的线性运算/实数与向量相乘
00462BF3;多边形的外角和;/三角形/多边形及其内角和/多边形的外角和
0049419F;判断点与圆的位置关系;/圆/与圆有关的位置关系/点与圆位置关系/判断点与圆的位置关系
0054655C;二次根式根号下的化简;/数与式/实数的运算/二次根式/二次根式根号下的化简
006FD5B1;总体、个体与样本的概念;/统计与概率/数据的收集/抽样调查/总体、个体与样本的概念
0075DEB1;加减乘除混合;/数与式/实数的运算/实数混合运算/加减乘除混合
00E5FEC2;加减乘方混合;/数与式/实数的运算/实数混合运算/加减乘方混合
01CA2CB5;性质;/函数/一次函数/正比例函数/性质
0237D42C;与圆有关的性质;/圆/与圆有关的性质
0272552E;一元一次方程的定义;/方程与不等式/一元一次方程/一元一次方程的定义
028BF90D;根据具体情况，选择合适的统计量表示数据的集中程度;/统计与概率/一组数据的代表/根据具体情况，选择合适的统计量表示数据的集中程度
02946379;b>0,图象与y轴交于正半轴;/函数/一次函数/一次函数的图象/b的几何特征/b>0,图象与y轴交于正半轴
029E5F2E;菱形的性质;/四边形/菱形/菱形的性质
02A2FCF9;随机事件的列举与识别;/统计与概率/随机事件、必然事件和不可能事件/列举与识别三类事件/随机事件的列举与识别
02AAB98E;方案问题;/函数/一次函数/能用一次函数解决简单实际问题/方案问题
02ACA177;对称轴;/图形的变化/图形的轴对称/轴对称有关概念/对称轴
02AFE0D6;反证法的含义;/图形的初步认识/命题与证明/证明方法/反证法的含义
02BF642D;反比例函数的概念;/函数/反比例函数/反比例函数的概念
02D85AF0;正比例函数解决实际问题;/函数/正比例函数/正比例函数解决实际问题
034C7890;垂线与垂线段;/图形的初步认识/垂线与垂线段
035E6497;实数的运算解决简单应用问题;/数与式/实数的运算/实数的运算解决简单应用问题
036365F5;两角分别相等的两个三角形相似。;/三角形/相似三角形/相似三角形的判定/两角分别相等的两个三角形相似。
04649037;配套问题;/方程与不等式/一元一次方程/一元一次方程解决实际问题/配套问题
0481936C;应用基本性质进行分式变形;/数与式/分式/分式的基本性质/应用基本性质进行分式变形
0488914F;三角形的重心;/三角形/三角形概念与基本性质/三角形的三心/三角形的重心
04AAFD35;等腰三角形的判定;/三角形/等腰三角形/等腰三角形的判定
04D865D5;锐角三角函数的概念及简单应用;/三角形/直角三角形/直角三角形的性质/锐角三角函数的概念及简单应用
04F2237E;在第一三象限角平分线上，x=y;/函数/直角坐标系/平面直角坐标系的有关概念/象限角平分线上的点P(x,y)的坐标特征/在第一三象限角平分线上，x=y
05327706;抛物问题;/方程与不等式/一元二次方程/一元二次方程的实际应用/抛物问题
05716C11;含参一元二次方程;/方程与不等式/一元二次方程/含参一元二次方程
05A4F070;求实数的相反数;/数与式/实数有关概念/相反数/求实数的相反数
05E18FFF;c>0,与y轴交于正半轴;/函数/二次函数/二次函数图象与系数的关系/c的几何意义(与y轴的交点)/c>0,与y轴交于正半轴
05ECF6DB;几何图形找规律;/数与式/代数式/列代数式表示简单数量关系/几何图形找规律
064CE5BE;分式的概念;/数与式/分式/分式的概念/分式的概念
06C8921B;求含两根代数式的值;/方程与不等式/一元二次方程/一元二次方程根与系数的关系/求含两根代数式的值
06D2B683;分数运算的应用;/数与式/实数有关概念/分数/分数运算的应用
06D929BB;k>0，图象从左向右上升;/函数/正比例函数/正比例函数图象特征/k>0，图象从左向右上升
071FFB71;测高;/三角形/直角三角形/锐角三角函数的实际应用/测高
07350C04;扇形图;/统计与概率/数据的整理与描述/扇形图
07849AAC;用一元二次方程的根的情况判断二次函数图象与x轴交点的情况;/函数/二次函数/二次函数与一元二次方程之间的关系/用一元二次方程的根的情况判断二次函数图象与x轴交点的情况
0791A6DC;三角形的中线;/三角形/三角形概念与基本性质/三角形中的重要线段/三角形的中线
07A2D8AB;n次方根;/数与式/实数的运算/实数的开方/n次方根
07AD503D;对称性：中心对称、轴对称（对称轴为对边中垂线）;/四边形/矩形/矩形的性质/对称性：中心对称、轴对称（对称轴为对边中垂线）
082CEBBC;整除;/数与式/实数有关概念/数的乘除/整除
